property,description
group_id_list.GroupdIdList1,-unknown-
has_danmaku,Whether the video contains danmaku-style comments
has_promote_entry,-unknown-
has_vs_entry,-unknown-
have_dashboard,-unknown-
hybrid_label,-unknown-
image_infos,-unknown-
image_post_info.image_post_cover.bitrate_images,-unknown-
image_post_info.image_post_cover.display_image.height,-unknown-
image_post_info.image_post_cover.display_image.uri,-unknown-
image_post_info.image_post_cover.display_image.width,-unknown-
image_post_info.image_post_cover.owner_watermark_image.height,-unknown-
image_post_info.image_post_cover.owner_watermark_image.uri,-unknown-
image_post_info.image_post_cover.owner_watermark_image.width,-unknown-
image_post_info.image_post_cover.thumbnail.height,-unknown-
image_post_info.image_post_cover.thumbnail.uri,-unknown-
image_post_info.image_post_cover.thumbnail.width,-unknown-
image_post_info.image_post_cover.user_watermark_image.height,-unknown-
image_post_info.image_post_cover.user_watermark_image.uri,-unknown-
image_post_info.image_post_cover.user_watermark_image.width,-unknown-
image_post_info.images.bitrate_images,-unknown-
image_post_info.images.display_image.height,-unknown-
image_post_info.images.display_image.uri,-unknown-
image_post_info.images.display_image.width,-unknown-
image_post_info.images.owner_watermark_image.height,-unknown-
image_post_info.images.owner_watermark_image.uri,-unknown-
image_post_info.images.owner_watermark_image.width,-unknown-
image_post_info.images.thumbnail.height,-unknown-
image_post_info.images.thumbnail.uri,-unknown-
image_post_info.images.thumbnail.width,-unknown-
image_post_info.images.user_watermark_image.height,-unknown-
image_post_info.images.user_watermark_image.uri,-unknown-
image_post_info.images.user_watermark_image.width,-unknown-
image_post_info.music_volume,-unknown-
image_post_info.title,-unknown-
interact_permission.allow_adding_to_story,-unknown-
interact_permission.allow_create_sticker.disable_toast,-unknown-
interact_permission.allow_create_sticker.status,-unknown-
interact_permission.duet,-unknown-
interact_permission.duet_privacy_setting,-unknown-
interact_permission.stitch,-unknown-
interact_permission.stitch_privacy_setting,-unknown-
interact_permission.upvote,-unknown-
interaction_stickers,-unknown-
interaction_tag_info.interest_level,-unknown-
interaction_tag_info.tagged_users.avatar_168x168.height,-unknown-
interaction_tag_info.tagged_users.avatar_168x168.uri,-unknown-
interaction_tag_info.tagged_users.avatar_168x168.width,-unknown-
interaction_tag_info.tagged_users.avatar_thumb.height,-unknown-
interaction_tag_info.tagged_users.avatar_thumb.uri,-unknown-
interaction_tag_info.tagged_users.avatar_thumb.width,-unknown-
interaction_tag_info.tagged_users.custom_verify,-unknown-
interaction_tag_info.tagged_users.enterprise_verify_reason,-unknown-
interaction_tag_info.tagged_users.follow_status,-unknown-
interaction_tag_info.tagged_users.follower_status,-unknown-
interaction_tag_info.tagged_users.interest_level,-unknown-
interaction_tag_info.tagged_users.is_private_account,-unknown-
interaction_tag_info.tagged_users.nickname,-unknown-
interaction_tag_info.tagged_users.uid,-unknown-
interaction_tag_info.tagged_users.unique_id,-unknown-
interaction_tag_info.video_label_text,-unknown-
is_ads,-unknown-
is_description_translatable,-unknown-
is_hash_tag,-unknown-
is_nff_or_nr,-unknown-
is_on_this_day,-unknown-
is_pgcshow,-unknown-
is_preview,-unknown-
is_relieve,-unknown-
is_text_sticker_translatable,-unknown-
is_top,-unknown-
is_vr,-unknown-
item_comment_settings,-unknown-
item_duet,-unknown-
item_react,-unknown-
item_stitch,-unknown-
label_top_text,-unknown-
label_top.height,-unknown-
label_top.uri,-unknown-
label_top.width,-unknown-
long_video,-unknown-
mask_infos.content,-unknown-
mask_infos.mask_type,-unknown-
mask_infos.pop_window.btn_text,-unknown-
mask_infos.pop_window.module_type,-unknown-
mask_infos.pop_window.pop_window.pop_content.is_list_item,-unknown-
mask_infos.pop_window.pop_window.pop_content.text.links.place_holder,-unknown-
mask_infos.pop_window.pop_window.pop_content.text.links.text,-unknown-
mask_infos.pop_window.pop_window.pop_content.text.links.url,-unknown-
mask_infos.pop_window.pop_window.pop_content.text.text,-unknown-
mask_infos.pop_window.pop_window.pop_title,-unknown-
mask_infos.show_mask,-unknown-
mask_infos.title,-unknown-
misc_info,-unknown-
muf_comment_info_v2,-unknown-
music_begin_time_in_ms,-unknown-
music_end_time_in_ms,-unknown-
music_selected_from,-unknown-
music_title_style,-unknown-
music_volume,-unknown-
music.album,Music album
music.artists.avatar.uri,-unknown-
music.artists.enter_type,-unknown-
music.artists.follow_status,-unknown-
music.artists.follower_status,-unknown-
music.artists.handle,-unknown-
music.artists.is_block,-unknown-
music.artists.is_blocked,-unknown-
music.artists.is_private_account,-unknown-
music.artists.is_verified,-unknown-
music.artists.is_visible,-unknown-
music.artists.nick_name,-unknown-
music.artists.sec_uid,-unknown-
music.artists.status,-unknown-
music.artists.uid,-unknown-
music.audition_duration,-unknown-
music.author,-unknown-
music.author_deleted,-unknown-
music.author_position,-unknown-
music.avatar_medium.height,-unknown-
music.avatar_medium.uri,-unknown-
music.avatar_medium.width,-unknown-
music.avatar_thumb.height,-unknown-
music.avatar_thumb.uri,-unknown-
